tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
54,helloflight,UA-397-JFK-SFO,,8:48 a.m.,,11:30 a.m.
55,helloflight,UA-3925-IAD-ORF,,9:00 a.m.,,9:29 a.m.
56,helloflight,AA-1733-ORD-PHX,,7:59 p.m.,,10:31 p.m.
57,helloflight,UA-2830-MCO-CLT,,3:50 p.m.,,5:14 p.m.
59,helloflight,AA-1544-SAN-ORD,,11:41 a.m.,,4:54 p.m.
60,helloflight,UA-5487-SFO-MRY,,10:53 a.m.,,11:11 a.m.
61,helloflight,AA-204-LAX-MCO,,11:29 p.m.,,12/2/11 6:35 a.m.
62,helloflight,UA-414-LAX-SFO,,6:10 a.m.,,7:04 a.m.
64,helloflight,UA-2726-FLL-PHL,,4:10 p.m.,,6:25 p.m.
67,helloflight,AA-616-DFW-DTW,,10:11 a.m.,,1:11 p.m.
71,helloflight,AA-1886-BOS-MIA,,10:54 a.m.,,1:36 p.m.
74,helloflight,UA-2314-ATL-PHL,,3:04 p.m.,,4:43 p.m.
75,helloflight,AA-446-DFW-PHL,,12:13 p.m.,,4:08 p.m.
77,helloflight,AA-466-IAH-MIA,,6:09 a.m.,,8:50 a.m.
78,helloflight,UA-3050-PHX-CLT,,11:45 a.m.,,5:00 p.m.
81,helloflight,AA-1664-MIA-ATL,,10:19 a.m.,,11:50 a.m.
82,helloflight,AA-1279-DFW-PHX,,2:03 p.m.,,3:13 p.m.
83,helloflight,UA-854-SFO-IAH,,8:07 a.m.,,1:23 p.m.
84,helloflight,UA-382-IAD-LAX,,12:56 p.m.,,3:09 p.m.
85,helloflight,AA-4344-ORD-DTW,,12:14 p.m.,,1:55 p.m.
86,helloflight,UA-257-JFK-SFO,,2:43 p.m.,,5:22 p.m.
87,helloflight,UA-2945-PHL-CLT,,12:07 p.m.,,1:11 p.m.
90,helloflight,AA-2050-ORD-MIA,,11:06 a.m.,,2:39 p.m.
91,helloflight,UA-248-PHX-ORD,,1:43 p.m.,,5:24 p.m.
93,helloflight,AA-1434-DFW-MCO,,7:22 a.m.,,10:34 a.m.
95,helloflight,AA-4307-ORD-DTW,,6:56 p.m.,,8:38 p.m.
96,helloflight,AA-3-JFK-LAX,,12:12 p.m.,,3:04 p.m.
98,helloflight,UA-843-LAX-ORD,,2:04 p.m.,,7:20 p.m.
100,helloflight,AA-3842-MSP-ORD,,6:57 a.m.,,7:49 a.m.
101,helloflight,AA-643-MIA-ORD,,7:31 a.m.,,9:26 a.m.
102,helloflight,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
104,helloflight,UA-2906-PHL-MCO,,4:44 p.m.,,6:28 p.m.
105,helloflight,UA-938-DEN-ORD,,4:37 p.m.,,7:23 p.m.
108,helloflight,UA-2515-DFW-CLT,,7:30 a.m.,,10:43 a.m.
109,helloflight,AA-400-DFW-JFK,,11:02 a.m.,,2:58 p.m.
110,helloflight,UA-664-ORD-PHL,,1:48 p.m.,,4:20 p.m.
113,helloflight,AA-1522-SFO-ORD,,12:11 a.m.,,5:52 a.m.
114,helloflight,UA-233-LAX-JFK,,4:28 p.m.,,12/2/11 12:01 a.m.
115,helloflight,AA-3823-LAX-DEN,,9:06 p.m.,,11:49 p.m.
116,helloflight,AA-2312-DFW-DTW,,8:29 p.m.,,11:35 p.m.
117,helloflight,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
118,helloflight,AA-431-MIA-SFO,,8:52 a.m.,,11:33 a.m.
120,helloflight,AA-649-ORD-SNA,,1:41 p.m.,,3:29 p.m.
122,helloflight,UA-6273-YYC-SFO,,7:41 a.m.,,8:33 a.m.
124,helloflight,CO-4888-IAH-DAL,,5:38 p.m.,,6:19 p.m.
125,helloflight,UA-858-PVG-SFO,,1:50 p.m. (+8:00),,7:50 a.m.
126,helloflight,UA-2704-DTW-PHX,,11:47 a.m.,,1:52 p.m.
127,helloflight,AA-3063-SLC-LAX,,8:40 p.m.,,9:12 p.m.
128,helloflight,UA-2708-EWR-CLT,,3:04 p.m.,,4:22 p.m.
132,helloflight,AA-1917-JFK-MCO,,3:28 p.m.,,5:39 p.m.
134,helloflight,AA-4277-CVG-JFK,,12:11 p.m.,,1:42 p.m.
137,helloflight,AA-789-ORD-DEN,,1:20 p.m.,,2:49 p.m.
138,helloflight,AA-415-BOS-ORD,,8:55 a.m.,,10:12 a.m.
139,helloflight,AA-85-JFK-SFO,,3:38 p.m.,,6:30 p.m.
145,helloflight,AA-4198-ORD-CLE,,10:55 a.m.,,12:37 p.m.
146,helloflight,AA-404-MIA-MCO,,6:58 a.m.,,7:37 a.m.
148,helloflight,AA-3809-PHX-LAX,,6:11 a.m.,,6:15 a.m.
149,helloflight,AA-59-JFK-SFO,,7:40 a.m.,,10:52 a.m.
150,helloflight,AA-222-LAX-BOS,,7:32 a.m.,,3:12 p.m.
152,boston,CO-1586-IAH-MCO,,7:42 p.m.,,10:23 p.m.
155,boston,UA-3925-IAD-ORF,,9:01 a.m.,,9:40 a.m.
159,boston,CO-58-DEN-IAH,,12:37 p.m.,,3:25 p.m.
160,boston,UA-5487-SFO-MRY,,10:53 a.m.,,11:18 a.m.
162,boston,UA-414-LAX-SFO,,6:10 a.m.,,7:10 a.m.
163,boston,CO-1614-LAX-IAH,,12:58 a.m.,,5:23 a.m.
165,boston,CO-52-IAH-LAX,,7:56 a.m.,,9:09 a.m.
166,boston,CO-1090-BOS-IAH,,10:35 a.m.,,1:09 p.m.
168,boston,UA-3515-IAD-MSP,,8:26 a.m.,,9:54 a.m.
172,boston,CO-62-IAH-EWR,,2:59 p.m.,,6:59 p.m.
173,boston,CO-1561-PHX-IAH,,8:18 a.m.,,11:26 a.m.
174,boston,UA-2314-ATL-PHL,,3:04 p.m.,,4:45 p.m.
176,boston,CO-1023-IAH-DEN,,12:06 p.m.,,1:12 p.m.
179,boston,CO-89-IAH-EWR,,6:17 a.m.,,10:18 a.m.
180,boston,CO-1088-CLE-IAH,,9:01 a.m.,,10:47 a.m.
183,boston,UA-854-SFO-IAH,,8:07 a.m.,,1:27 p.m.
184,boston,UA-382-IAD-LAX,,12:56 p.m.,,3:20 p.m.
185,boston,AA-4344-ORD-DTW,,12:14 p.m.,,2:01 p.m.
188,boston,CO-63-EWR-IAH,,5:38 p.m.,,7:55 p.m.
189,boston,CO-47-IAH-LAX,,8:36 p.m.,,9:38 p.m.
197,boston,UA-843-LAX-ORD,,2:38 p.m.,,7:53 p.m.
201,boston,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
203,boston,UA-938-DEN-ORD,,4:37 p.m.,,7:26 p.m.
205,boston,CO-16-LAX-EWR,,10:37 a.m.,,6:13 p.m.
206,boston,UA-2515-DFW-CLT,,7:31 a.m.,,10:45 a.m.
210,boston,UA-37-EWR-MCO,,2:01 p.m.,,4:06 p.m.
217,boston,UA-3373-IAD-PHL,,8:37 a.m.,,9:11 a.m.
219,boston,CO-1250-MIA-IAH,,3:17 p.m.,,4:55 p.m.
220,boston,UA-6273-YYC-SFO,,7:41 a.m.,,8:41 a.m.
223,boston,UA-858-PVG-SFO,,12:45 a.m.,,7:58 a.m.
224,boston,UA-2704-DTW-PHX,,11:47 a.m.,,2:02 p.m.
225,boston,AA-3063-SLC-LAX,,8:40 p.m.,,9:11 p.m.
226,boston,UA-2708-EWR-CLT,,3:04 p.m.,,4:24 p.m.
227,boston,UA-62-IAH-EWR,,2:59 p.m.,,6:59 p.m.
228,boston,UA-1500-IAH-GUA,,9:43 a.m.,,12:10 p.m.
234,boston,UA-37-EDI-EWR,,9:05 a.m.,,12:00 p.m.
239,boston,AA-1544-SAN-ORD,,11:41 a.m.,,4:52 p.m.
243,boston,CO-50-CLE-EWR,,4:02 p.m.,,5:09 p.m.
341,airtravelcenter,UA-397-JFK-SFO,,8:48 a.m.,,11:30 a.m.
342,airtravelcenter,UA-3925-IAD-ORF,,9:00 a.m.,,9:29 a.m.
343,airtravelcenter,AA-1733-ORD-PHX,,7:59 p.m.,,10:31 p.m.
344,airtravelcenter,UA-2830-MCO-CLT,,3:50 p.m.,,5:14 p.m.
346,airtravelcenter,AA-1544-SAN-ORD,,11:41 a.m.,,4:54 p.m.
347,airtravelcenter,UA-5487-SFO-MRY,,10:53 a.m.,,11:11 a.m.
348,airtravelcenter,AA-204-LAX-MCO,,11:29 p.m.,,12/2/11 6:35 a.m.
349,airtravelcenter,UA-414-LAX-SFO,,6:10 a.m.,,7:04 a.m.
351,airtravelcenter,UA-2726-FLL-PHL,,4:10 p.m.,,6:25 p.m.
354,airtravelcenter,AA-616-DFW-DTW,,10:11 a.m.,,1:11 p.m.
358,airtravelcenter,AA-1886-BOS-MIA,,10:54 a.m.,,1:36 p.m.
361,airtravelcenter,UA-2314-ATL-PHL,,3:04 p.m.,,4:43 p.m.
362,airtravelcenter,AA-446-DFW-PHL,,12:13 p.m.,,4:08 p.m.
364,airtravelcenter,AA-466-IAH-MIA,,6:09 a.m.,,8:50 a.m.
365,airtravelcenter,UA-3050-PHX-CLT,,11:45 a.m.,,5:00 p.m.
368,airtravelcenter,AA-1664-MIA-ATL,,10:19 a.m.,,11:50 a.m.
369,airtravelcenter,AA-1279-DFW-PHX,,2:03 p.m.,,3:13 p.m.
370,airtravelcenter,UA-854-SFO-IAH,,8:07 a.m.,,1:23 p.m.
371,airtravelcenter,UA-382-IAD-LAX,,12:56 p.m.,,3:09 p.m.
372,airtravelcenter,AA-4344-ORD-DTW,,12:14 p.m.,,1:55 p.m.
373,airtravelcenter,UA-257-JFK-SFO,,2:43 p.m.,,5:22 p.m.
374,airtravelcenter,UA-2945-PHL-CLT,,12:07 p.m.,,1:11 p.m.
377,airtravelcenter,AA-2050-ORD-MIA,,11:06 a.m.,,2:39 p.m.
378,airtravelcenter,UA-248-PHX-ORD,,1:43 p.m.,,5:24 p.m.
380,airtravelcenter,AA-1434-DFW-MCO,,7:22 a.m.,,10:34 a.m.
382,airtravelcenter,AA-4307-ORD-DTW,,6:56 p.m.,,8:38 p.m.
383,airtravelcenter,AA-3-JFK-LAX,,12:12 p.m.,,3:04 p.m.
385,airtravelcenter,UA-843-LAX-ORD,,2:04 p.m.,,7:20 p.m.
387,airtravelcenter,AA-3842-MSP-ORD,,6:57 a.m.,,7:49 a.m.
388,airtravelcenter,AA-643-MIA-ORD,,7:31 a.m.,,9:26 a.m.
389,airtravelcenter,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
391,airtravelcenter,UA-2906-PHL-MCO,,4:44 p.m.,,6:28 p.m.
392,airtravelcenter,UA-938-DEN-ORD,,4:37 p.m.,,7:23 p.m.
395,airtravelcenter,UA-2515-DFW-CLT,,7:30 a.m.,,10:43 a.m.
396,airtravelcenter,AA-400-DFW-JFK,,11:02 a.m.,,2:58 p.m.
397,airtravelcenter,UA-664-ORD-PHL,,1:48 p.m.,,4:20 p.m.
